group,Sample:,Sex,ALP,ALT,CA,CHOL,FT4,LDH,TBI,TGL
Naive,MN01,Male,87,36.9,2.32,2.25,21.4,155.8,6.6,0.75
Naive,MN02,Male,76,35.5,2.31,2.67,21.2,144.6,6.1,1.36
Naive,MN03,Male,90,38.7,2.29,2.29,19.5,151.7,5.3,0.45
Naive,MN04,Male,82,29.8,2.49,2.25,22,254.3,6.3,0.91
Naive,MN05,Male,69,113.7,2.32,1.91,23.3,904.2,5.9,0.67
Naive,MN06,Male,68,31.8,2.28,2.48,23.8,176.8,5.1,1.52
Naive,MN07,Male,84,32.7,2.34,2.37,21,210.7,4.7,0.75
Naive,MN08,Male,80,47.6,2.24,2.26,22.1,131.1,6.2,0.84
Vehicle,MV17,Male,66,54.3,2.35,1.84,19.5,486.2,5.5,0.56
Vehicle,MV18,Male,70,28.5,2.37,2.97,23.8,155.1,5.3,1.21
Vehicle,MV19,Male,72,32.1,2.38,2.35,21.4,251.5,5.9,0.85
Vehicle,MV20,Male,74,29.8,2.42,2.72,23,156,6.7,0.87
Vehicle,MV21,Male,66,36.6,2.35,2.28,19.5,166.5,5.8,0.72
Vehicle,MV22,Male,64,27.8,2.31,2.12,17.8,132.1,7.1,0.74
Vehicle,MV23,Male,70,29.6,2.45,2.27,18.8,185.7,8.2,0.51
Vehicle,MV24,Male,70,29.2,2.38,2.3,18.5,165,6.2,0.8
PFOS 1.5,MS33,Male,131,30.3,2.34,1.83,24.4,201.1,5.4,0.55
PFOS 1.5,MS34,Male,141,36.9,2.34,2.23,22,178.5,5.3,0.44
PFOS 1.5,MS35,Male,156,35.1,2.4,2.29,23,160.3,6.1,0.54
PFOS 1.5,MS36,Male,100,37,2.44,2.35,24.5,241.9,5,0.61
PFOS 1.5,MS37,Male,112,44,2.38,1.96,21.8,223.8,4.3,0.52
PFOS 1.5,MS38,Male,191,36.9,2.38,2.09,19.3,161.5,6.3,0.5
PFOS 1.5,MS39,Male,121,31.4,2.31,1.11,22.6,138.6,6.9,0.34
PFOS 1.5,MS40,Male,140,42.6,2.29,1.85,23,394.4,4.9,0.43
PFOA 1.5,MA49,Male,141,96.4,2.47,1.9,17.2,530.6,3.7,0.15
PFOA 1.5,MA50,Male,127,96.6,,2.13,,583.3,4.1,0.52
PFOA 1.5,MA51,Male,163,84.6,2.42,2.46,20.9,309.7,3.9,0.51
PFOA 1.5,MA52,Male,173,170.5,2.42,2.27,16.1,528,4.3,0.64
PFOA 1.5,MA53,Male,129,169.5,2.39,2.31,20.7,246.5,5.2,0.41
PFOA 1.5,MA54,Male,114,131.5,2.34,1.98,18.6,309.5,3.9,0.66
PFOA 1.5,MA55,Male,108,100.1,2.32,1.87,21.7,236.7,4.8,0.54
PFOA 1.5,MA56,Male,155,208.8,2.35,0.9,21.9,468.6,8.6,0.35
Naive,FN09,Female,126,22.8,2.27,2.13,25.2,285,5.8,1.53
Naive,FN10,Female,137,16.1,2.17,1.91,27.3,122.3,5.5,0.7
Naive,FN11,Female,121,21.2,2.32,1.9,22.4,308.6,5.1,0.85
Naive,FN12,Female,164,28.2,2.34,2.01,24.4,186.3,4.3,0.32
Naive,FN13,Female,140,51.1,2.25,1.7,19.9,471.8,4.8,0.98
Naive,FN14,Female,-,-,-,-,-,-,-,-
Naive,FN15,Female,133,36.2,2.29,2.3,21.2,179.9,4.8,0.99
Naive,FN16,Female,167,26.6,2.32,2.33,30.3,159.7,5.4,1.13
Vehicle,FV25,Female,135,29.6,2.25,1.84,19.9,156,4.7,0.94
Vehicle,FV26,Female,129,28.3,2.3,2.2,28.8,263.8,4.2,0.8
Vehicle,FV27,Female,132,29.2,2.3,1.78,25.4,164.7,5.9,0.52
Vehicle,FV28,Female,134,29,2.26,1.83,24.6,184.2,4.7,1.08
Vehicle,FV29,Female,144,20.3,2.44,2.01,22.4,205.6,5.6,0.82
Vehicle,FV30,Female,110,26.7,2.33,2.11,20.6,138.8,5.5,1.43
Vehicle,FV31,Female,149,42,2.38,2.09,24.6,536,5.4,0.76
Vehicle,FV32,Female,139,30.2,2.32,2.18,23,131.1,8.1,1.05
PFOS 1.5,FS41,Female,133,30.7,2.27,1.79,28,138.5,4.9,0.39
PFOS 1.5,FS42,Female,140,198.6,2.38,1.57,21.4,645.7,3.5,0.28
PFOS 1.5,FS43,Female,135,32.3,2.32,1.58,26.1,169.9,5.1,0.36
PFOS 1.5,FS44,Female,129,97.2,2.31,1.72,0,1325.4,5.3,0.22
PFOS 1.5,FS45,Female,140,29.6,2.24,1.52,26.9,244.5,3.9,0.36
PFOS 1.5,FS46,Female,124,49.9,2.46,1.54,26.2,276,4.7,0.08
PFOS 1.5,FS47,Female,132,33.2,2.32,1.69,25.6,286.5,3.9,0.23
PFOS 1.5,FS48,Female,125,27.6,2.35,1.92,26.1,163.2,6.3,0.37
PFOA 1.5,FA57,Female,151,101.7,2.37,1.91,22.2,265.4,3.3,0.29
PFOA 1.5,FA58,Female,120,95.9,2.26,1.77,19,262.2,3.7,0.14
PFOA 1.5,FA59,Female,141,109,2.4,1.73,23.2,533.8,5,0.24
PFOA 1.5,FA60,Female,141,115.4,2.37,1.98,23.9,304.4,3.3,0.29
PFOA 1.5,FA61,Female,148,109.5,2.4,1.89,23.4,214.2,4.1,0.43
PFOA 1.5,FA62,Female,131,68.3,2.4,1.78,17.9,181.3,5.7,0.34
PFOA 1.5,FA63,Female,137,116.9,2.34,2.12,14.8,349.3,2.6,0.33
PFOA 1.5,FA64,Female,168,118,2.38,1.8,25.4,374,3.8,0.21
